epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,1058.06,1.39582,2.27693,0.03054,0.48872,0.47038,0.45598,0.26108,1.85806,2.4343,0.06596,0.0009605,0.0009605,0.0009605
44,1083.57,1.4086,2.20619,0.03078,0.48771,0.46815,0.4839,0.28469,1.808,2.31342,0.06251,0.00093575,0.00093575,0.00093575
45,1103.09,1.39969,2.19072,0.03098,0.51115,0.52311,0.49859,0.28278,1.89116,2.38268,0.06566,0.000911,0.000911,0.000911
46,1122.9,1.39725,2.19021,0.03115,0.43027,0.57747,0.48748,0.28324,1.79902,2.36055,0.06231,0.00088625,0.00088625,0.00088625
47,1149.33,1.42266,2.11625,0.03066,0.47044,0.54038,0.47686,0.28176,1.80417,2.36428,0.06278,0.0008615,0.0008615,0.0008615
48,1167.88,1.36272,2.1086,0.02997,0.5395,0.53333,0.49535,0.2882,1.78382,2.39327,0.06131,0.00083675,0.00083675,0.00083675
49,1187.38,1.33982,2.09182,0.02986,0.53293,0.46913,0.502,0.30874,1.78215,2.29556,0.06151,0.000812,0.000812,0.000812
50,1206.73,1.35587,2.15741,0.03058,0.55018,0.44519,0.47112,0.2901,1.81529,2.32311,0.06247,0.00078725,0.00078725,0.00078725
51,1227.95,1.3482,2.09698,0.02923,0.49714,0.51371,0.49039,0.29548,1.84299,2.30601,0.06325,0.0007625,0.0007625,0.0007625
52,1255.38,1.39989,2.0694,0.03039,0.51932,0.43623,0.47098,0.28216,1.82731,2.39626,0.06293,0.00073775,0.00073775,0.00073775
53,1284.12,1.35388,2.09488,0.02975,0.47266,0.51424,0.48113,0.29178,1.84355,2.39604,0.06338,0.000713,0.000713,0.000713
54,1311.43,1.34626,2.0936,0.02886,0.43553,0.57048,0.50739,0.31073,1.77413,2.27926,0.06141,0.00068825,0.00068825,0.00068825
55,1341.94,1.31341,2.03193,0.02872,0.47816,0.53902,0.4988,0.29981,1.82026,2.26746,0.06272,0.0006635,0.0006635,0.0006635
56,1367.74,1.31018,1.96869,0.02812,0.43474,0.63967,0.49132,0.30703,1.77935,2.26357,0.06078,0.00063875,0.00063875,0.00063875
57,1396.04,1.28744,1.90082,0.0271,0.48329,0.50292,0.48696,0.31386,1.7323,2.22283,0.06008,0.000614,0.000614,0.000614
58,1425.05,1.31389,1.99708,0.02876,0.438,0.52833,0.48927,0.31178,1.73493,2.29794,0.05901,0.00058925,0.00058925,0.00058925
